Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/inverse,444,0,5,5.229930957341879,1.5021819999674335,15.17128799969214,25.0,5.763494851065125,0.0,5,6,6,6,7,9,12,13,15,15,15
GET,/unstable,899,450,5,4.98642522141986,1.6502349972142838,15.342200997110922,26.00111234705228,11.669778988980962,5.841379916620059,5,5,6,6,7,8,12,13,15,15,15
,Aggregated,1343,450,5,5.066928979237713,1.5021819999674335,15.342200997110922,25.670141474311244,17.433273840046088,5.841379916620059,5,5,6,6,7,8,12,13,15,15,15
