"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что поиск с валидным запросом 'тарифы' возвращает корректные результаты.","5052","TC002: Проверка успешного поиска по валидному запросу","","Mon Oct 14 16:19:19 MSK 2024","passed","Mon Oct 14 16:19:24 MSK 2024","","test_search","",""
"Проверяем, что некорректный запрос '%%%%' возвращает сообщение об отсутствии результатов.","6738","TC001: Проверка поведения поиска при некорректном запросе","","Mon Oct 14 16:19:12 MSK 2024","passed","Mon Oct 14 16:19:19 MSK 2024","","test_search","",""
